spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts;mask1;score1;sequence1;mask2;score2;sequence2;mask3;score3;sequence3
oralists;MS;S;non;R;;P;to teache;HassanSaad;teache;oralists teache [MASK].;classes;0.0324888937175273;oralists teache classes.;it;0.0278179384768009;oralists teache it.;class;0.0220425371080636;oralists teache class.
oralists;MS;S;non;R;;P;to lead;HassanSaad;lead;oralists lead [MASK].;them;0.0531211718916893;oralists lead them.;us;0.0361061207950115;oralists lead us.;conversation;0.0236714985221624;oralists lead conversation.
oralists;MS;S;non;R;;P;to advise;HassanSaad;advise;oralists advise [MASK].;caution;0.1353796869516372;oralists advise caution.;patients;0.034867063164711;oralists advise patients.;you;0.0346233174204826;oralists advise you.
deaf persons;MS;S;non;R;;P;to innovate;HassanSaad;innovate;deaf persons innovate [MASK].;today;0.1636317074298858;deaf persons innovate today.;successfully;0.0395334064960479;deaf persons innovate successfully.;too;0.038245428353548;deaf persons innovate too.
deaf persons;MS;S;non;R;;P;to develop;HassanSaad;develop;deaf persons develop [MASK].;asthma;0.1061944812536239;deaf persons develop asthma.;dementia;0.0954619422554969;deaf persons develop dementia.;autism;0.0860107243061065;deaf persons develop autism.
deaf persons;MS;S;non;R;;P;to manage;HassanSaad;manage;deaf persons manage [MASK].;well;0.0620585940778255;deaf persons manage well.;deaf;0.0437724106013774;deaf persons manage deaf.;better;0.0284803975373506;deaf persons manage better.
deaf persons;MS;S;non;R;;P;to have;HassanSaad;have;deaf persons have [MASK].;died;0.1771647185087204;deaf persons have died.;disabilities;0.1437701284885406;deaf persons have disabilities.;asthma;0.0643491968512535;deaf persons have asthma.
deaf persons;MS;S;non;R;;P;to instruct;HassanSaad;instruct;deaf persons instruct [MASK].;themselves;0.1590726971626281;deaf persons instruct themselves.;them;0.0766974985599517;deaf persons instruct them.;others;0.0400267168879509;deaf persons instruct others.
deaf persons;MS;S;non;R;;P;to guide;HassanSaad;guide;deaf persons guide [MASK].;them;0.1185879930853843;deaf persons guide them.;us;0.0461148172616958;deaf persons guide us.;others;0.0348718874156475;deaf persons guide others.
deaf persons;MS;S;non;R;;P;to perceive;HassanSaad;perceive;deaf persons perceive [MASK].;this;0.1024456769227981;deaf persons perceive this.;it;0.0936318561434745;deaf persons perceive it.;them;0.0321909599006176;deaf persons perceive them.
deaf persons;MS;S;non;R;;P;to supervise;HassanSaad;supervise;deaf persons supervise [MASK].;them;0.0771522521972656;deaf persons supervise them.;##s;0.0364237129688262;deaf persons supervises.;work;0.0358984991908073;deaf persons supervise work.
deaf persons;MS;S;non;R;;P;to do;HassanSaad;do;deaf persons do [MASK].;not;0.5783048868179321;deaf persons do not.;so;0.0592155866324901;deaf persons do so.;this;0.039840031415224;deaf persons do this.
deaf persons;MS;S;non;R;;P;to produce;HassanSaad;produce;deaf persons produce [MASK].;aids;0.0593681521713733;deaf persons produce aids.;deaf;0.050859659910202;deaf persons produce deaf.;seizures;0.0424663946032524;deaf persons produce seizures.
deaf persons;MS;S;non;R;;P;to feel;HassanSaad;feel;deaf persons feel [MASK].;safe;0.0483617670834064;deaf persons feel safe.;differently;0.0469771213829517;deaf persons feel differently.;pain;0.0392467342317104;deaf persons feel pain.
deaf persons;MS;S;non;R;;P;to teache;HassanSaad;teache;deaf persons teache [MASK].;classes;0.0379821136593818;deaf persons teache classes.;them;0.0177308153361082;deaf persons teache them.;it;0.0175815615803003;deaf persons teache it.
deaf persons;MS;S;non;R;;P;to lead;HassanSaad;lead;deaf persons lead [MASK].;them;0.0350290313363075;deaf persons lead them.;others;0.0301208663731813;deaf persons lead others.;children;0.025085287168622;deaf persons lead children.
deaf persons;MS;S;non;R;;P;to advise;HassanSaad;advise;deaf persons advise [MASK].;caution;0.094396948814392;deaf persons advise caution.;them;0.0339796617627143;deaf persons advise them.;you;0.0318084992468357;deaf persons advise you.
Deaf persons;MS;S;non;R;;P;to innovate;HassanSaad;innovate;Deaf persons innovate [MASK].;today;0.1636317074298858;deaf persons innovate today.;successfully;0.0395334064960479;deaf persons innovate successfully.;too;0.038245428353548;deaf persons innovate too.
Deaf persons;MS;S;non;R;;P;to develop;HassanSaad;develop;Deaf persons develop [MASK].;asthma;0.1061944812536239;deaf persons develop asthma.;dementia;0.0954619422554969;deaf persons develop dementia.;autism;0.0860107243061065;deaf persons develop autism.
Deaf persons;MS;S;non;R;;P;to manage;HassanSaad;manage;Deaf persons manage [MASK].;well;0.0620585940778255;deaf persons manage well.;deaf;0.0437724106013774;deaf persons manage deaf.;better;0.0284803975373506;deaf persons manage better.
Deaf persons;MS;S;non;R;;P;to have;HassanSaad;have;Deaf persons have [MASK].;died;0.1771647185087204;deaf persons have died.;disabilities;0.1437701284885406;deaf persons have disabilities.;asthma;0.0643491968512535;deaf persons have asthma.
Deaf persons;MS;S;non;R;;P;to instruct;HassanSaad;instruct;Deaf persons instruct [MASK].;themselves;0.1590726971626281;deaf persons instruct themselves.;them;0.0766974985599517;deaf persons instruct them.;others;0.0400267168879509;deaf persons instruct others.
Deaf persons;MS;S;non;R;;P;to guide;HassanSaad;guide;Deaf persons guide [MASK].;them;0.1185879930853843;deaf persons guide them.;us;0.0461148172616958;deaf persons guide us.;others;0.0348718874156475;deaf persons guide others.
Deaf persons;MS;S;non;R;;P;to perceive;HassanSaad;perceive;Deaf persons perceive [MASK].;this;0.1024456769227981;deaf persons perceive this.;it;0.0936318561434745;deaf persons perceive it.;them;0.0321909599006176;deaf persons perceive them.
Deaf persons;MS;S;non;R;;P;to supervise;HassanSaad;supervise;Deaf persons supervise [MASK].;them;0.0771522521972656;deaf persons supervise them.;##s;0.0364237129688262;deaf persons supervises.;work;0.0358984991908073;deaf persons supervise work.
Deaf persons;MS;S;non;R;;P;to do;HassanSaad;do;Deaf persons do [MASK].;not;0.5783048868179321;deaf persons do not.;so;0.0592155866324901;deaf persons do so.;this;0.039840031415224;deaf persons do this.
Deaf persons;MS;S;non;R;;P;to produce;HassanSaad;produce;Deaf persons produce [MASK].;aids;0.0593681521713733;deaf persons produce aids.;deaf;0.050859659910202;deaf persons produce deaf.;seizures;0.0424663946032524;deaf persons produce seizures.
Deaf persons;MS;S;non;R;;P;to feel;HassanSaad;feel;Deaf persons feel [MASK].;safe;0.0483617670834064;deaf persons feel safe.;differently;0.0469771213829517;deaf persons feel differently.;pain;0.0392467342317104;deaf persons feel pain.
Deaf persons;MS;S;non;R;;P;to teache;HassanSaad;teache;Deaf persons teache [MASK].;classes;0.0379821136593818;deaf persons teache classes.;them;0.0177308153361082;deaf persons teache them.;it;0.0175815615803003;deaf persons teache it.
Deaf persons;MS;S;non;R;;P;to lead;HassanSaad;lead;Deaf persons lead [MASK].;them;0.0350290313363075;deaf persons lead them.;others;0.0301208663731813;deaf persons lead others.;children;0.025085287168622;deaf persons lead children.
Deaf persons;MS;S;non;R;;P;to advise;HassanSaad;advise;Deaf persons advise [MASK].;caution;0.094396948814392;deaf persons advise caution.;them;0.0339796617627143;deaf persons advise them.;you;0.0318084992468357;deaf persons advise you.
deafened persons;MS;S;non;R;;P;to innovate;HassanSaad;innovate;deafened persons innovate [MASK].;themselves;0.0544822253286838;deafened persons innovate themselves.;successfully;0.0418003462255001;deafened persons innovate successfully.;again;0.0378305502235889;deafened persons innovate again.
deafened persons;MS;S;non;R;;P;to develop;HassanSaad;develop;deafened persons develop [MASK].;paralysis;0.109622910618782;deafened persons develop paralysis.;dementia;0.1061543598771095;deafened persons develop dementia.;blindness;0.0797115340828895;deafened persons develop blindness.
deafened persons;MS;S;non;R;;P;to manage;HassanSaad;manage;deafened persons manage [MASK].;well;0.0404337868094444;deafened persons manage well.;deaf;0.0342760682106018;deafened persons manage deaf.;seizures;0.0302809383720159;deafened persons manage seizures.
deafened persons;MS;S;non;R;;P;to have;HassanSaad;have;deafened persons have [MASK].;died;0.2743972241878509;deafened persons have died.;dementia;0.0612103603780269;deafened persons have dementia.;suffered;0.0523572415113449;deafened persons have suffered.
deafened persons;MS;S;non;R;;P;to instruct;HassanSaad;instruct;deafened persons instruct [MASK].;themselves;0.1359246671199798;deafened persons instruct themselves.;them;0.1081371381878852;deafened persons instruct them.;others;0.0527895577251911;deafened persons instruct others.
deafened persons;MS;S;non;R;;P;to guide;HassanSaad;guide;deafened persons guide [MASK].;them;0.1590424925088882;deafened persons guide them.;him;0.0411760956048965;deafened persons guide him.;themselves;0.0378069691359996;deafened persons guide themselves.
deafened persons;MS;S;non;R;;P;to perceive;HassanSaad;perceive;deafened persons perceive [MASK].;this;0.0643433332443237;deafened persons perceive this.;it;0.0552224107086658;deafened persons perceive it.;them;0.0304687451571226;deafened persons perceive them.
deafened persons;MS;S;non;R;;P;to supervise;HassanSaad;supervise;deafened persons supervise [MASK].;them;0.0972349643707275;deafened persons supervise them.;##s;0.0521368347108364;deafened persons supervises.;machinery;0.0253410525619983;deafened persons supervise machinery.
deafened persons;MS;S;non;R;;P;to do;HassanSaad;do;deafened persons do [MASK].;not;0.5747652649879456;deafened persons do not.;so;0.0937779396772384;deafened persons do so.;this;0.0273044966161251;deafened persons do this.
deafened persons;MS;S;non;R;;P;to produce;HassanSaad;produce;deafened persons produce [MASK].;seizures;0.1257873475551605;deafened persons produce seizures.;blindness;0.0503983795642852;deafened persons produce blindness.;disease;0.0450705662369728;deafened persons produce disease.
deafened persons;MS;S;non;R;;P;to feel;HassanSaad;feel;deafened persons feel [MASK].;pain;0.0662420243024826;deafened persons feel pain.;safe;0.0383554995059967;deafened persons feel safe.;helpless;0.0362157896161079;deafened persons feel helpless.
deafened persons;MS;S;non;R;;P;to teache;HassanSaad;teache;deafened persons teache [MASK].;classes;0.0339087396860122;deafened persons teache classes.;lessons;0.0242547299712896;deafened persons teache lessons.;them;0.0240657031536102;deafened persons teache them.
deafened persons;MS;S;non;R;;P;to lead;HassanSaad;lead;deafened persons lead [MASK].;others;0.0529123432934284;deafened persons lead others.;them;0.0406799502670764;deafened persons lead them.;suicide;0.0240526814013719;deafened persons lead suicide.
deafened persons;MS;S;non;R;;P;to advise;HassanSaad;advise;deafened persons advise [MASK].;caution;0.0859751403331756;deafened persons advise caution.;you;0.0379103012382984;deafened persons advise you.;otherwise;0.0281415041536092;deafened persons advise otherwise.
late-deafened persons;MS;S;non;R;;P;to innovate;HassanSaad;innovate;late-deafened persons innovate [MASK].;rapidly;0.0560920238494873;late - deafened persons innovate rapidly.;today;0.0554854460060596;late - deafened persons innovate today.;themselves;0.0465830154716968;late - deafened persons innovate themselves.
late-deafened persons;MS;S;non;R;;P;to develop;HassanSaad;develop;late-deafened persons develop [MASK].;dementia;0.1792552322149276;late - deafened persons develop dementia.;paralysis;0.0662813112139701;late - deafened persons develop paralysis.;autism;0.0637411475181579;late - deafened persons develop autism.
late-deafened persons;MS;S;non;R;;P;to manage;HassanSaad;manage;late-deafened persons manage [MASK].;well;0.0510859750211238;late - deafened persons manage well.;dementia;0.0420566946268081;late - deafened persons manage dementia.;it;0.0277493335306644;late - deafened persons manage it.
late-deafened persons;MS;S;non;R;;P;to have;HassanSaad;have;late-deafened persons have [MASK].;died;0.3082200884819031;late - deafened persons have died.;dementia;0.1050251349806785;late - deafened persons have dementia.;suffered;0.0553364977240562;late - deafened persons have suffered.
late-deafened persons;MS;S;non;R;;P;to instruct;HassanSaad;instruct;late-deafened persons instruct [MASK].;them;0.1039499938488006;late - deafened persons instruct them.;themselves;0.0842133909463882;late - deafened persons instruct themselves.;others;0.0575717724859714;late - deafened persons instruct others.
late-deafened persons;MS;S;non;R;;P;to guide;HassanSaad;guide;late-deafened persons guide [MASK].;them;0.1331492811441421;late - deafened persons guide them.;us;0.0465863980352878;late - deafened persons guide us.;him;0.0351660959422588;late - deafened persons guide him.
late-deafened persons;MS;S;non;R;;P;to perceive;HassanSaad;perceive;late-deafened persons perceive [MASK].;this;0.0691027343273162;late - deafened persons perceive this.;it;0.0486845262348651;late - deafened persons perceive it.;them;0.030068501830101;late - deafened persons perceive them.
late-deafened persons;MS;S;non;R;;P;to supervise;HassanSaad;supervise;late-deafened persons supervise [MASK].;them;0.0827979445457458;late - deafened persons supervise them.;##s;0.0380278006196022;late - deafened persons supervises.;work;0.0263032335788011;late - deafened persons supervise work.
late-deafened persons;MS;S;non;R;;P;to do;HassanSaad;do;late-deafened persons do [MASK].;not;0.4289984405040741;late - deafened persons do not.;so;0.1128851920366287;late - deafened persons do so.;this;0.0496695041656494;late - deafened persons do this.
late-deafened persons;MS;S;non;R;;P;to produce;HassanSaad;produce;late-deafened persons produce [MASK].;seizures;0.0932953134179115;late - deafened persons produce seizures.;aids;0.0504943802952766;late - deafened persons produce aids.;disease;0.0441588573157787;late - deafened persons produce disease.
late-deafened persons;MS;S;non;R;;P;to feel;HassanSaad;feel;late-deafened persons feel [MASK].;pain;0.0409798435866832;late - deafened persons feel pain.;better;0.0342077277600765;late - deafened persons feel better.;safe;0.0334445722401142;late - deafened persons feel safe.
late-deafened persons;MS;S;non;R;;P;to teache;HassanSaad;teache;late-deafened persons teache [MASK].;classes;0.047255240380764;late - deafened persons teache classes.;them;0.0194223299622535;late - deafened persons teache them.;lessons;0.01793073117733;late - deafened persons teache lessons.
late-deafened persons;MS;S;non;R;;P;to lead;HassanSaad;lead;late-deafened persons lead [MASK].;others;0.0693296194076538;late - deafened persons lead others.;suicide;0.0595002844929695;late - deafened persons lead suicide.;children;0.0402021966874599;late - deafened persons lead children.
late-deafened persons;MS;S;non;R;;P;to advise;HassanSaad;advise;late-deafened persons advise [MASK].;caution;0.1176798045635223;late - deafened persons advise caution.;you;0.0357466042041778;late - deafened persons advise you.;assistance;0.0262463726103305;late - deafened persons advise assistance.
persons who have become deaf;MS;S;non;R;;P;to innovate;HassanSaad;innovate;persons who have become deaf innovate [MASK].;today;0.0690364763140678;persons who have become deaf innovate today.;themselves;0.0618112906813621;persons who have become deaf innovate themselves.;rapidly;0.0610452741384506;persons who have become deaf innovate rapidly.
persons who have become deaf;MS;S;non;R;;P;to develop;HassanSaad;develop;persons who have become deaf develop [MASK].;dementia;0.1666387021541595;persons who have become deaf develop dementia.;disabilities;0.0890870466828346;persons who have become deaf develop disabilities.;difficulties;0.0672701671719551;persons who have become deaf develop difficulties.
persons who have become deaf;MS;S;non;R;;P;to manage;HassanSaad;manage;persons who have become deaf manage [MASK].;well;0.1656630635261535;persons who have become deaf manage well.;them;0.0632298439741134;persons who have become deaf manage them.;better;0.0527772828936576;persons who have become deaf manage better.
persons who have become deaf;MS;S;non;R;;P;to have;HassanSaad;have;persons who have become deaf have [MASK].;died;0.1398335546255111;persons who have become deaf have died.;dementia;0.1170498803257942;persons who have become deaf have dementia.;disabilities;0.0841533094644546;persons who have become deaf have disabilities.
persons who have become deaf;MS;S;non;R;;P;to instruct;HassanSaad;instruct;persons who have become deaf instruct [MASK].;themselves;0.2042588293552398;persons who have become deaf instruct themselves.;them;0.1715651005506515;persons who have become deaf instruct them.;##ive;0.0569694079458713;persons who have become deaf instructive.
persons who have become deaf;MS;S;non;R;;P;to guide;HassanSaad;guide;persons who have become deaf guide [MASK].;them;0.1450937539339065;persons who have become deaf guide them.;us;0.0537449344992637;persons who have become deaf guide us.;themselves;0.0309762917459011;persons who have become deaf guide themselves.
persons who have become deaf;MS;S;non;R;;P;to perceive;HassanSaad;perceive;persons who have become deaf perceive [MASK].;this;0.1667357832193374;persons who have become deaf perceive this.;it;0.134039357304573;persons who have become deaf perceive it.;them;0.0764282643795013;persons who have become deaf perceive them.
persons who have become deaf;MS;S;non;R;;P;to supervise;HassanSaad;supervise;persons who have become deaf supervise [MASK].;them;0.2490235120058059;persons who have become deaf supervise them.;##s;0.0649295821785926;persons who have become deaf supervises.;him;0.0385970175266265;persons who have become deaf supervise him.
persons who have become deaf;MS;S;non;R;;P;to do;HassanSaad;do;persons who have become deaf do [MASK].;not;0.570288896560669;persons who have become deaf do not.;so;0.2442571818828582;persons who have become deaf do so.;likewise;0.0253814253956079;persons who have become deaf do likewise.
persons who have become deaf;MS;S;non;R;;P;to produce;HassanSaad;produce;persons who have become deaf produce [MASK].;blindness;0.0799737125635147;persons who have become deaf produce blindness.;deaf;0.063994713127613;persons who have become deaf produce deaf.;disease;0.057446826249361;persons who have become deaf produce disease.
persons who have become deaf;MS;S;non;R;;P;to feel;HassanSaad;feel;persons who have become deaf feel [MASK].;differently;0.0590883940458297;persons who have become deaf feel differently.;better;0.0550441481173038;persons who have become deaf feel better.;it;0.0282813590019941;persons who have become deaf feel it.
persons who have become deaf;MS;S;non;R;;P;to teache;HassanSaad;teache;persons who have become deaf teache [MASK].;school;0.024121630936861;persons who have become deaf teache school.;no;0.023010591045022;persons who have become deaf teache no.;.;0.0161418560892343;persons who have become deaf teache..
persons who have become deaf;MS;S;non;R;;P;to lead;HassanSaad;lead;persons who have become deaf lead [MASK].;suicide;0.1235792934894561;persons who have become deaf lead suicide.;on;0.0693806931376457;persons who have become deaf lead on.;them;0.0626716911792755;persons who have become deaf lead them.
persons who have become deaf;MS;S;non;R;;P;to advise;HassanSaad;advise;persons who have become deaf advise [MASK].;this;0.0615229941904544;persons who have become deaf advise this.;them;0.0594298392534256;persons who have become deaf advise them.;him;0.0563360340893268;persons who have become deaf advise him.
persons who becomes deaf;MS;S;non;R;;P;to innovate;HassanSaad;innovate;persons who becomes deaf innovate [MASK].;accordingly;0.0631928965449333;persons who becomes deaf innovate accordingly.;rapidly;0.0590710192918777;persons who becomes deaf innovate rapidly.;themselves;0.0586567297577858;persons who becomes deaf innovate themselves.
persons who becomes deaf;MS;S;non;R;;P;to develop;HassanSaad;develop;persons who becomes deaf develop [MASK].;dementia;0.1576328575611114;persons who becomes deaf develop dementia.;disabilities;0.0902658551931381;persons who becomes deaf develop disabilities.;autism;0.0718736127018928;persons who becomes deaf develop autism.
persons who becomes deaf;MS;S;non;R;;P;to manage;HassanSaad;manage;persons who becomes deaf manage [MASK].;well;0.1876174807548523;persons who becomes deaf manage well.;better;0.0578004196286201;persons who becomes deaf manage better.;difficulties;0.0515532977879047;persons who becomes deaf manage difficulties.
persons who becomes deaf;MS;S;non;R;;P;to have;HassanSaad;have;persons who becomes deaf have [MASK].;disabilities;0.1143436655402183;persons who becomes deaf have disabilities.;dementia;0.1055781841278076;persons who becomes deaf have dementia.;died;0.0759765431284904;persons who becomes deaf have died.
persons who becomes deaf;MS;S;non;R;;P;to instruct;HassanSaad;instruct;persons who becomes deaf instruct [MASK].;themselves;0.2087190896272659;persons who becomes deaf instruct themselves.;them;0.1460510939359665;persons who becomes deaf instruct them.;##s;0.0592716187238693;persons who becomes deaf instructs.
persons who becomes deaf;MS;S;non;R;;P;to guide;HassanSaad;guide;persons who becomes deaf guide [MASK].;them;0.1835307627916336;persons who becomes deaf guide them.;themselves;0.0500142835080623;persons who becomes deaf guide themselves.;children;0.044292077422142;persons who becomes deaf guide children.
persons who becomes deaf;MS;S;non;R;;P;to perceive;HassanSaad;perceive;persons who becomes deaf perceive [MASK].;this;0.1276803016662597;persons who becomes deaf perceive this.;it;0.0970587730407714;persons who becomes deaf perceive it.;them;0.063908465206623;persons who becomes deaf perceive them.
persons who becomes deaf;MS;S;non;R;;P;to supervise;HassanSaad;supervise;persons who becomes deaf supervise [MASK].;##s;0.2536787390708923;persons who becomes deaf supervises.;them;0.1508889496326446;persons who becomes deaf supervise them.;others;0.04727603495121;persons who becomes deaf supervise others.
persons who becomes deaf;MS;S;non;R;;P;to do;HassanSaad;do;persons who becomes deaf do [MASK].;not;0.459888607263565;persons who becomes deaf do not.;so;0.2637605667114258;persons who becomes deaf do so.;this;0.0435470044612884;persons who becomes deaf do this.
persons who becomes deaf;MS;S;non;R;;P;to produce;HassanSaad;produce;persons who becomes deaf produce [MASK].;blindness;0.112624779343605;persons who becomes deaf produce blindness.;deaf;0.0787666067481041;persons who becomes deaf produce deaf.;seizures;0.0561794973909854;persons who becomes deaf produce seizures.
persons who becomes deaf;MS;S;non;R;;P;to feel;HassanSaad;feel;persons who becomes deaf feel [MASK].;better;0.057496141642332;persons who becomes deaf feel better.;differently;0.0462859757244586;persons who becomes deaf feel differently.;helpless;0.0329122208058834;persons who becomes deaf feel helpless.
persons who becomes deaf;MS;S;non;R;;P;to teache;HassanSaad;teache;persons who becomes deaf teache [MASK].;school;0.0231221374124288;persons who becomes deaf teache school.;no;0.0210315138101577;persons who becomes deaf teache no.;more;0.0130253564566373;persons who becomes deaf teache more.
persons who becomes deaf;MS;S;non;R;;P;to lead;HassanSaad;lead;persons who becomes deaf lead [MASK].;on;0.0943512097001075;persons who becomes deaf lead on.;suicide;0.0774268135428428;persons who becomes deaf lead suicide.;children;0.0462919436395168;persons who becomes deaf lead children.
persons who becomes deaf;MS;S;non;R;;P;to advise;HassanSaad;advise;persons who becomes deaf advise [MASK].;him;0.0683420896530151;persons who becomes deaf advise him.;them;0.0535122826695442;persons who becomes deaf advise them.;this;0.0405816137790679;persons who becomes deaf advise this.
persons who becoming deaf;MS;S;non;R;;P;to innovate;HassanSaad;innovate;persons who becoming deaf innovate [MASK].;themselves;0.0820394083857536;persons who becoming deaf innovate themselves.;today;0.0642604678869247;persons who becoming deaf innovate today.;again;0.0557511858642101;persons who becoming deaf innovate again.
persons who becoming deaf;MS;S;non;R;;P;to develop;HassanSaad;develop;persons who becoming deaf develop [MASK].;dementia;0.1617592722177505;persons who becoming deaf develop dementia.;disabilities;0.1132422685623169;persons who becoming deaf develop disabilities.;difficulties;0.0607702620327472;persons who becoming deaf develop difficulties.
persons who becoming deaf;MS;S;non;R;;P;to manage;HassanSaad;manage;persons who becoming deaf manage [MASK].;well;0.1142277494072914;persons who becoming deaf manage well.;them;0.055866677314043;persons who becoming deaf manage them.;it;0.0481580197811126;persons who becoming deaf manage it.
persons who becoming deaf;MS;S;non;R;;P;to have;HassanSaad;have;persons who becoming deaf have [MASK].;died;0.127810388803482;persons who becoming deaf have died.;disabilities;0.1219276338815689;persons who becoming deaf have disabilities.;dementia;0.1046489998698234;persons who becoming deaf have dementia.
persons who becoming deaf;MS;S;non;R;;P;to instruct;HassanSaad;instruct;persons who becoming deaf instruct [MASK].;themselves;0.2142671793699264;persons who becoming deaf instruct themselves.;them;0.1707164645195007;persons who becoming deaf instruct them.;others;0.0350941307842731;persons who becoming deaf instruct others.
persons who becoming deaf;MS;S;non;R;;P;to guide;HassanSaad;guide;persons who becoming deaf guide [MASK].;them;0.2125215083360672;persons who becoming deaf guide them.;us;0.0393326617777347;persons who becoming deaf guide us.;him;0.0369297862052917;persons who becoming deaf guide him.
