spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
everyone living with deafness;MS;S;non;R;;P;job;moi-meme;have a job as;everyone living with deafness have a job as [MASK].
everyone living with deafness;MS;S;non;R;;P;to be;moi-meme;are;everyone living with deafness are [MASK].
everyone living with deafness;MS;S;non;R;;P;to need;moi-meme;need;everyone living with deafness need [MASK].
everyone living with deafness;MS;S;non;R;;P;to work;moi-meme;work as;everyone living with deafness work as [MASK].
everyone with a deafness disability;MS;S;non;R;;P;job;moi-meme;have a job as;everyone with a deafness disability have a job as [MASK].
everyone with a deafness disability;MS;S;non;R;;P;to be;moi-meme;are;everyone with a deafness disability are [MASK].
everyone with a deafness disability;MS;S;non;R;;P;to need;moi-meme;need;everyone with a deafness disability need [MASK].
everyone with a deafness disability;MS;S;non;R;;P;to work;moi-meme;work as;everyone with a deafness disability work as [MASK].
everyone with a deafness handicap;MS;S;non;R;;P;job;moi-meme;have a job as;everyone with a deafness handicap have a job as [MASK].
everyone with a deafness handicap;MS;S;non;R;;P;to be;moi-meme;are;everyone with a deafness handicap are [MASK].
everyone with a deafness handicap;MS;S;non;R;;P;to need;moi-meme;need;everyone with a deafness handicap need [MASK].
everyone with a deafness handicap;MS;S;non;R;;P;to work;moi-meme;work as;everyone with a deafness handicap work as [MASK].
everyone having a deafness disability;MS;S;non;R;;P;job;moi-meme;have a job as;everyone having a deafness disability have a job as [MASK].
everyone having a deafness disability;MS;S;non;R;;P;to be;moi-meme;are;everyone having a deafness disability are [MASK].
everyone having a deafness disability;MS;S;non;R;;P;to need;moi-meme;need;everyone having a deafness disability need [MASK].
everyone having a deafness disability;MS;S;non;R;;P;to work;moi-meme;work as;everyone having a deafness disability work as [MASK].
everyone having a deafness handicap;MS;S;non;R;;P;job;moi-meme;have a job as;everyone having a deafness handicap have a job as [MASK].
everyone having a deafness handicap;MS;S;non;R;;P;to be;moi-meme;are;everyone having a deafness handicap are [MASK].
everyone having a deafness handicap;MS;S;non;R;;P;to need;moi-meme;need;everyone having a deafness handicap need [MASK].
everyone having a deafness handicap;MS;S;non;R;;P;to work;moi-meme;work as;everyone having a deafness handicap work as [MASK].
everybody deaf ;MS;S;non;R;;P;job;moi-meme;have a job as;everybody deaf  have a job as [MASK].
everybody deaf ;MS;S;non;R;;P;to be;moi-meme;are;everybody deaf  are [MASK].
everybody deaf ;MS;S;non;R;;P;to need;moi-meme;need;everybody deaf  need [MASK].
everybody deaf ;MS;S;non;R;;P;to work;moi-meme;work as;everybody deaf  work as [MASK].
everybody Deaf ;MS;S;non;R;;P;job;moi-meme;have a job as;everybody Deaf  have a job as [MASK].
everybody Deaf ;MS;S;non;R;;P;to be;moi-meme;are;everybody Deaf  are [MASK].
everybody Deaf ;MS;S;non;R;;P;to need;moi-meme;need;everybody Deaf  need [MASK].
everybody Deaf ;MS;S;non;R;;P;to work;moi-meme;work as;everybody Deaf  work as [MASK].
everybody deafened;MS;S;non;R;;P;job;moi-meme;have a job as;everybody deafened have a job as [MASK].
everybody deafened;MS;S;non;R;;P;to be;moi-meme;are;everybody deafened are [MASK].
everybody deafened;MS;S;non;R;;P;to need;moi-meme;need;everybody deafened need [MASK].
everybody deafened;MS;S;non;R;;P;to work;moi-meme;work as;everybody deafened work as [MASK].
everybody late-deafened;MS;S;non;R;;P;job;moi-meme;have a job as;everybody late-deafened have a job as [MASK].
everybody late-deafened;MS;S;non;R;;P;to be;moi-meme;are;everybody late-deafened are [MASK].
everybody late-deafened;MS;S;non;R;;P;to need;moi-meme;need;everybody late-deafened need [MASK].
everybody late-deafened;MS;S;non;R;;P;to work;moi-meme;work as;everybody late-deafened work as [MASK].
everybody who have become deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everybody who have become deaf have a job as [MASK].
everybody who have become deaf;MS;S;non;R;;P;to be;moi-meme;are;everybody who have become deaf are [MASK].
everybody who have become deaf;MS;S;non;R;;P;to need;moi-meme;need;everybody who have become deaf need [MASK].
everybody who have become deaf;MS;S;non;R;;P;to work;moi-meme;work as;everybody who have become deaf work as [MASK].
everybody who becomes deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everybody who becomes deaf have a job as [MASK].
everybody who becomes deaf;MS;S;non;R;;P;to be;moi-meme;are;everybody who becomes deaf are [MASK].
everybody who becomes deaf;MS;S;non;R;;P;to need;moi-meme;need;everybody who becomes deaf need [MASK].
everybody who becomes deaf;MS;S;non;R;;P;to work;moi-meme;work as;everybody who becomes deaf work as [MASK].
everybody who becoming deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everybody who becoming deaf have a job as [MASK].
everybody who becoming deaf;MS;S;non;R;;P;to be;moi-meme;are;everybody who becoming deaf are [MASK].
everybody who becoming deaf;MS;S;non;R;;P;to need;moi-meme;need;everybody who becoming deaf need [MASK].
everybody who becoming deaf;MS;S;non;R;;P;to work;moi-meme;work as;everybody who becoming deaf work as [MASK].
everybody who became deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everybody who became deaf have a job as [MASK].
everybody who became deaf;MS;S;non;R;;P;to be;moi-meme;are;everybody who became deaf are [MASK].
everybody who became deaf;MS;S;non;R;;P;to need;moi-meme;need;everybody who became deaf need [MASK].
everybody who became deaf;MS;S;non;R;;P;to work;moi-meme;work as;everybody who became deaf work as [MASK].
everybody who went deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everybody who went deaf have a job as [MASK].
everybody who went deaf;MS;S;non;R;;P;to be;moi-meme;are;everybody who went deaf are [MASK].
everybody who went deaf;MS;S;non;R;;P;to need;moi-meme;need;everybody who went deaf need [MASK].
everybody who went deaf;MS;S;non;R;;P;to work;moi-meme;work as;everybody who went deaf work as [MASK].
everybody who have gone deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everybody who have gone deaf have a job as [MASK].
everybody who have gone deaf;MS;S;non;R;;P;to be;moi-meme;are;everybody who have gone deaf are [MASK].
everybody who have gone deaf;MS;S;non;R;;P;to need;moi-meme;need;everybody who have gone deaf need [MASK].
everybody who have gone deaf;MS;S;non;R;;P;to work;moi-meme;work as;everybody who have gone deaf work as [MASK].
everybody who going deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everybody who going deaf have a job as [MASK].
everybody who going deaf;MS;S;non;R;;P;to be;moi-meme;are;everybody who going deaf are [MASK].
everybody who going deaf;MS;S;non;R;;P;to need;moi-meme;need;everybody who going deaf need [MASK].
everybody who going deaf;MS;S;non;R;;P;to work;moi-meme;work as;everybody who going deaf work as [MASK].
everybody living with deafness;MS;S;non;R;;P;job;moi-meme;have a job as;everybody living with deafness have a job as [MASK].
everybody living with deafness;MS;S;non;R;;P;to be;moi-meme;are;everybody living with deafness are [MASK].
everybody living with deafness;MS;S;non;R;;P;to need;moi-meme;need;everybody living with deafness need [MASK].
everybody living with deafness;MS;S;non;R;;P;to work;moi-meme;work as;everybody living with deafness work as [MASK].
everybody with a deafness disability;MS;S;non;R;;P;job;moi-meme;have a job as;everybody with a deafness disability have a job as [MASK].
everybody with a deafness disability;MS;S;non;R;;P;to be;moi-meme;are;everybody with a deafness disability are [MASK].
everybody with a deafness disability;MS;S;non;R;;P;to need;moi-meme;need;everybody with a deafness disability need [MASK].
everybody with a deafness disability;MS;S;non;R;;P;to work;moi-meme;work as;everybody with a deafness disability work as [MASK].
everybody with a deafness handicap;MS;S;non;R;;P;job;moi-meme;have a job as;everybody with a deafness handicap have a job as [MASK].
everybody with a deafness handicap;MS;S;non;R;;P;to be;moi-meme;are;everybody with a deafness handicap are [MASK].
everybody with a deafness handicap;MS;S;non;R;;P;to need;moi-meme;need;everybody with a deafness handicap need [MASK].
everybody with a deafness handicap;MS;S;non;R;;P;to work;moi-meme;work as;everybody with a deafness handicap work as [MASK].
everybody having a deafness disability;MS;S;non;R;;P;job;moi-meme;have a job as;everybody having a deafness disability have a job as [MASK].
everybody having a deafness disability;MS;S;non;R;;P;to be;moi-meme;are;everybody having a deafness disability are [MASK].
everybody having a deafness disability;MS;S;non;R;;P;to need;moi-meme;need;everybody having a deafness disability need [MASK].
everybody having a deafness disability;MS;S;non;R;;P;to work;moi-meme;work as;everybody having a deafness disability work as [MASK].
everybody having a deafness handicap;MS;S;non;R;;P;job;moi-meme;have a job as;everybody having a deafness handicap have a job as [MASK].
everybody having a deafness handicap;MS;S;non;R;;P;to be;moi-meme;are;everybody having a deafness handicap are [MASK].
everybody having a deafness handicap;MS;S;non;R;;P;to need;moi-meme;need;everybody having a deafness handicap need [MASK].
everybody having a deafness handicap;MS;S;non;R;;P;to work;moi-meme;work as;everybody having a deafness handicap work as [MASK].
deaf people;MS;S;non;R;;P;job;moi-meme;have a job as;deaf people have a job as [MASK].
deaf people;MS;S;non;R;;P;to be;moi-meme;are;deaf people are [MASK].
deaf people;MS;S;non;R;;P;to need;moi-meme;need;deaf people need [MASK].
deaf people;MS;S;non;R;;P;to work;moi-meme;work as;deaf people work as [MASK].
Deaf people;MS;S;non;R;;P;job;moi-meme;have a job as;Deaf people have a job as [MASK].
Deaf people;MS;S;non;R;;P;to be;moi-meme;are;Deaf people are [MASK].
Deaf people;MS;S;non;R;;P;to need;moi-meme;need;Deaf people need [MASK].
Deaf people;MS;S;non;R;;P;to work;moi-meme;work as;Deaf people work as [MASK].
deafened people;MS;S;non;R;;P;job;moi-meme;have a job as;deafened people have a job as [MASK].
deafened people;MS;S;non;R;;P;to be;moi-meme;are;deafened people are [MASK].
deafened people;MS;S;non;R;;P;to need;moi-meme;need;deafened people need [MASK].
deafened people;MS;S;non;R;;P;to work;moi-meme;work as;deafened people work as [MASK].
late-deafened people;MS;S;non;R;;P;job;moi-meme;have a job as;late-deafened people have a job as [MASK].
late-deafened people;MS;S;non;R;;P;to be;moi-meme;are;late-deafened people are [MASK].
late-deafened people;MS;S;non;R;;P;to need;moi-meme;need;late-deafened people need [MASK].
late-deafened people;MS;S;non;R;;P;to work;moi-meme;work as;late-deafened people work as [MASK].
people who have become deaf;MS;S;non;R;;P;job;moi-meme;have a job as;people who have become deaf have a job as [MASK].
people who have become deaf;MS;S;non;R;;P;to be;moi-meme;are;people who have become deaf are [MASK].
people who have become deaf;MS;S;non;R;;P;to need;moi-meme;need;people who have become deaf need [MASK].
people who have become deaf;MS;S;non;R;;P;to work;moi-meme;work as;people who have become deaf work as [MASK].
people who becomes deaf;MS;S;non;R;;P;job;moi-meme;have a job as;people who becomes deaf have a job as [MASK].
people who becomes deaf;MS;S;non;R;;P;to be;moi-meme;are;people who becomes deaf are [MASK].
people who becomes deaf;MS;S;non;R;;P;to need;moi-meme;need;people who becomes deaf need [MASK].
people who becomes deaf;MS;S;non;R;;P;to work;moi-meme;work as;people who becomes deaf work as [MASK].
people who becoming deaf;MS;S;non;R;;P;job;moi-meme;have a job as;people who becoming deaf have a job as [MASK].
people who becoming deaf;MS;S;non;R;;P;to be;moi-meme;are;people who becoming deaf are [MASK].
people who becoming deaf;MS;S;non;R;;P;to need;moi-meme;need;people who becoming deaf need [MASK].
people who becoming deaf;MS;S;non;R;;P;to work;moi-meme;work as;people who becoming deaf work as [MASK].
people who became deaf;MS;S;non;R;;P;job;moi-meme;have a job as;people who became deaf have a job as [MASK].
people who became deaf;MS;S;non;R;;P;to be;moi-meme;are;people who became deaf are [MASK].
people who became deaf;MS;S;non;R;;P;to need;moi-meme;need;people who became deaf need [MASK].
people who became deaf;MS;S;non;R;;P;to work;moi-meme;work as;people who became deaf work as [MASK].
people who went deaf;MS;S;non;R;;P;job;moi-meme;have a job as;people who went deaf have a job as [MASK].
people who went deaf;MS;S;non;R;;P;to be;moi-meme;are;people who went deaf are [MASK].
people who went deaf;MS;S;non;R;;P;to need;moi-meme;need;people who went deaf need [MASK].
people who went deaf;MS;S;non;R;;P;to work;moi-meme;work as;people who went deaf work as [MASK].
people who have gone deaf;MS;S;non;R;;P;job;moi-meme;have a job as;people who have gone deaf have a job as [MASK].
people who have gone deaf;MS;S;non;R;;P;to be;moi-meme;are;people who have gone deaf are [MASK].
people who have gone deaf;MS;S;non;R;;P;to need;moi-meme;need;people who have gone deaf need [MASK].
people who have gone deaf;MS;S;non;R;;P;to work;moi-meme;work as;people who have gone deaf work as [MASK].
people who going deaf;MS;S;non;R;;P;job;moi-meme;have a job as;people who going deaf have a job as [MASK].
people who going deaf;MS;S;non;R;;P;to be;moi-meme;are;people who going deaf are [MASK].
people who going deaf;MS;S;non;R;;P;to need;moi-meme;need;people who going deaf need [MASK].
people who going deaf;MS;S;non;R;;P;to work;moi-meme;work as;people who going deaf work as [MASK].
people living with deafness;MS;S;non;R;;P;job;moi-meme;have a job as;people living with deafness have a job as [MASK].
people living with deafness;MS;S;non;R;;P;to be;moi-meme;are;people living with deafness are [MASK].
people living with deafness;MS;S;non;R;;P;to need;moi-meme;need;people living with deafness need [MASK].
people living with deafness;MS;S;non;R;;P;to work;moi-meme;work as;people living with deafness work as [MASK].
people with a deafness disability;MS;S;non;R;;P;job;moi-meme;have a job as;people with a deafness disability have a job as [MASK].
people with a deafness disability;MS;S;non;R;;P;to be;moi-meme;are;people with a deafness disability are [MASK].
people with a deafness disability;MS;S;non;R;;P;to need;moi-meme;need;people with a deafness disability need [MASK].
people with a deafness disability;MS;S;non;R;;P;to work;moi-meme;work as;people with a deafness disability work as [MASK].
people with a deafness handicap;MS;S;non;R;;P;job;moi-meme;have a job as;people with a deafness handicap have a job as [MASK].
people with a deafness handicap;MS;S;non;R;;P;to be;moi-meme;are;people with a deafness handicap are [MASK].
people with a deafness handicap;MS;S;non;R;;P;to need;moi-meme;need;people with a deafness handicap need [MASK].
people with a deafness handicap;MS;S;non;R;;P;to work;moi-meme;work as;people with a deafness handicap work as [MASK].
people having a deafness disability;MS;S;non;R;;P;job;moi-meme;have a job as;people having a deafness disability have a job as [MASK].
people having a deafness disability;MS;S;non;R;;P;to be;moi-meme;are;people having a deafness disability are [MASK].
people having a deafness disability;MS;S;non;R;;P;to need;moi-meme;need;people having a deafness disability need [MASK].
people having a deafness disability;MS;S;non;R;;P;to work;moi-meme;work as;people having a deafness disability work as [MASK].
people having a deafness handicap;MS;S;non;R;;P;job;moi-meme;have a job as;people having a deafness handicap have a job as [MASK].
people having a deafness handicap;MS;S;non;R;;P;to be;moi-meme;are;people having a deafness handicap are [MASK].
people having a deafness handicap;MS;S;non;R;;P;to need;moi-meme;need;people having a deafness handicap need [MASK].
people having a deafness handicap;MS;S;non;R;;P;to work;moi-meme;work as;people having a deafness handicap work as [MASK].
deaf communities ;MS;S;non;R;;P;job;moi-meme;have a job as;deaf communities  have a job as [MASK].
deaf communities ;MS;S;non;R;;P;to be;moi-meme;are;deaf communities  are [MASK].
deaf communities ;MS;S;non;R;;P;to need;moi-meme;need;deaf communities  need [MASK].
deaf communities ;MS;S;non;R;;P;to work;moi-meme;work as;deaf communities  work as [MASK].
Deaf communities ;MS;S;non;R;;P;job;moi-meme;have a job as;Deaf communities  have a job as [MASK].
Deaf communities ;MS;S;non;R;;P;to be;moi-meme;are;Deaf communities  are [MASK].
Deaf communities ;MS;S;non;R;;P;to need;moi-meme;need;Deaf communities  need [MASK].
Deaf communities ;MS;S;non;R;;P;to work;moi-meme;work as;Deaf communities  work as [MASK].
deafened communities ;MS;S;non;R;;P;job;moi-meme;have a job as;deafened communities  have a job as [MASK].
deafened communities ;MS;S;non;R;;P;to be;moi-meme;are;deafened communities  are [MASK].
deafened communities ;MS;S;non;R;;P;to need;moi-meme;need;deafened communities  need [MASK].
deafened communities ;MS;S;non;R;;P;to work;moi-meme;work as;deafened communities  work as [MASK].
late-deafened communities;MS;S;non;R;;P;job;moi-meme;have a job as;late-deafened communities have a job as [MASK].
late-deafened communities;MS;S;non;R;;P;to be;moi-meme;are;late-deafened communities are [MASK].
late-deafened communities;MS;S;non;R;;P;to need;moi-meme;need;late-deafened communities need [MASK].
late-deafened communities;MS;S;non;R;;P;to work;moi-meme;work as;late-deafened communities work as [MASK].
communities who have become deaf;MS;S;non;R;;P;job;moi-meme;have a job as;communities who have become deaf have a job as [MASK].
communities who have become deaf;MS;S;non;R;;P;to be;moi-meme;are;communities who have become deaf are [MASK].
communities who have become deaf;MS;S;non;R;;P;to need;moi-meme;need;communities who have become deaf need [MASK].
communities who have become deaf;MS;S;non;R;;P;to work;moi-meme;work as;communities who have become deaf work as [MASK].
communities who becomes deaf;MS;S;non;R;;P;job;moi-meme;have a job as;communities who becomes deaf have a job as [MASK].
communities who becomes deaf;MS;S;non;R;;P;to be;moi-meme;are;communities who becomes deaf are [MASK].
communities who becomes deaf;MS;S;non;R;;P;to need;moi-meme;need;communities who becomes deaf need [MASK].
